id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating_ver,cont_rating,vpp_lic,ver,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,user_rating
281656475,PAC-MAN Premium,100788224,USD,3.99,21292,26,4.5,4+,1,6.3.5,Games,38,5,10,4
281796108,Evernote - stay organized,158578688,USD,0,161065,26,3.5,4+,1,8.2.2,Productivity,37,5,23,4
281940292,,100524032,USD,0,188583,2822,4.5,4+,1,5.0.0,Weather,37,5,3,3.5
282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,USD,0,262241,649,4.5,12+,1,5.10.0,Shopping,37,5,9,4
282935706,Bible,92774400,USD,0,985920,5320,5,4+,1,7.5.1,Reference,37,5,45,4.5
283619399,Shanghai Mahjong,10485713,USD,0.99,8253,5516,4,4+,1,1.8,Games,47,5,1,4
283646709,PayPal - Send and request money safely,227795968,USD,0,119487,879,4.5,4+,1,6.12.0,Finance,37,0,19,4
284035177,Pandora - Music & Radio,130242560,USD,0,1126879,3594,4.5,12+,1,8.4.1,Music,37,4,1,4
284666222,PCalc - The Best Calculator,49250304,,9.99,1117,4,5,4+,1,3.6.6,Utilities,37,5,1,4.5
284736660,Ms. PAC-MAN,70023168,USD,3.99,7885,40,4,4+,1,4.0.4,Games,38,0,10,4
284791396,Solitaire by MobilityWare,49618944,USD,4.99,76720,4017,4.5,4+,1,4.10.1,Games,38,4,11,4.5
284815117,SCRABBLE Premium,227547136,,7.99,105776,166,2.5,4+,1,5.19.0,Games,37,0,6,3.5
284815942,Google – Search made just for mobile,179979264,USD,0,479440,203,4,17+,1,27,Utilities,37,4,33,3.5
284847138,Bank of America - Mobile Banking,160925696,,0,119773,2336,4.5,4+,1,7.3.8,Finance,37,0,2,3.5
284862767,FreeCell,55153664,USD,4.99,6340,668,4.5,4+,1,4.0.3,Games,38,5,2,4.5
284876795,TripAdvisor Hotels Flights Restaurants,207907840,USD,0,56194,87,3.5,4+,1,21.1,Travel,37,1,26,4
284882215,Facebook,389879808,,0,2974676,212,3.5,4+,1,95,Social Networking,37,1,29,3.5
284910350,"Yelp - Nearby Restaurants, Shopping & Services",167407616,USD,0,223885,3726,4.5,12+,1,11.15.0,Travel,37,5,18,4
284993459,"Shazam - Discover music, artists, videos & lyrics",147093504,,0,402925,136,4.5,12+,1,11.0.3,Music,37,3,16,4
285005463,Crash Bandicoot Nitro Kart 3D,10735026,,2.99,31456,4178,3.5,4+,1,1.0.0,Games,47,0,1,4
285946052,iQuran,70707916,,1.99,2929,966,4.5,4+,1,3.3,Reference,43,0,2,4.5
285994151,:) Sudoku +,6169600,,2.99,11447,781,5,4+,1,5.2.6,Games,40,5,1,5
286058814,"Yahoo Sports - Teams, Scores, News & Highlights",130583552,USD,0,137951,131,4.5,4+,1,6.9,Sports,37,2,6,4
